Gene	Category
ENSDARG00000009471	EGF
ENSDARG00000018721	EGF
ENSDARG00000104314	EGF
ENSDARG00000077818	EGF
ENSDARG00000086585	EGF
ENSDARG00000089766	EGF
ENSDARG00000061647	EGF
ENSDARG00000063635	EGF
ENSDARG00000061454	EGF
ENSDARG00000063150	EGF
ENSDARG00000043746	EGF
ENSDARG00000062693	EGF
ENSDARG00000014973	EGF
ENSDARG00000077367	EGF
ENSDARG00000087100	EGF
ENSDARG00000093480	EGF
ENSDARG00000060753	EGF
ENSDARG00000062707	EGF
ENSDARG00000039145	EGF
ENSDARG00000038258	EGF
ENSDARG00000068261	EGF
ENSDARG00000037783	EGF
ENSDARG00000076900	EGF
ENSDARG00000052148	EGF
ENSDARG00000004539	EGF
ENSDARG00000010276	EGF
ENSDARG00000077285	EGF
ENSDARG00000063097	EGF
ENSDARG00000037362	EGF
ENSDARG00000011490	EGF
ENSDARG00000009123	EGF
ENSDARG00000096787	EGF
ENSDARG00000042138	EGF
ENSDARG00000067824	EGF
ENSDARG00000011171	EGF
ENSDARG00000088975	EGF
ENSDARG00000078536	EGF
ENSDARG00000078088	EGF
ENSDARG00000097993	EGF
ENSDARG00000094648	EGF
ENSDARG00000087709	EGF
ENSDARG00000022615	EGF
ENSDARG00000011673	EGF
ENSDARG00000098431	EGF
ENSDARG00000079519	EGF
ENSDARG00000087558	EGF
ENSDARG00000087190	EGF
ENSDARG00000104210	EGF
ENSDARG00000104329	EGF
ENSDARG00000040683	EGF
ENSDARG00000091602	EGF
ENSDARG00000097869	EGF
ENSDARG00000102445	EGF
ENSDARG00000091667	EGF
ENSDARG00000039652	EGF
ENSDARG00000087599	EGF
ENSDARG00000075974	EGF
ENSDARG00000101697	EGF
ENSDARG00000042829	EGF
ENSDARG00000037122	EGF
ENSDARG00000075126	EGF
ENSDARG00000094055	EGF
ENSDARG00000092525	EGF
ENSDARG00000094850	EGF
ENSDARG00000044954	EGF
ENSDARG00000099446	EGF
ENSDARG00000004246	EGF
ENSDARG00000034268	EGF
ENSDARG00000044433	EGF
ENSDARG00000076484	EGF
ENSDARG00000045748	EGF
ENSDARG00000058839	EGF
ENSDARG00000035095	EGF
ENSDARG00000028663	EGF
ENSDARG00000003403	EGF
ENSDARG00000005479	EGF
ENSDARG00000105088	EGF
ENSDARG00000053939	EGF
ENSDARG00000092470	EGF
ENSDARG00000010785	EGF
ENSDARG00000060410	EGF
ENSDARG00000073810	EGF
ENSDARG00000077641	EGF
ENSDARG00000012060	EGF
ENSDARG00000102777	EGF
ENSDARG00000020072	EGF
ENSDARG00000004105	EGF
ENSDARG00000037429	EGF
ENSDARG00000008191	EGF
ENSDARG00000056740	EGF
ENSDARG00000051824	EGF
ENSDARG00000058699	EGF
ENSDARG00000032795	EGF
ENSDARG00000021948	EGF
ENSDARG00000020771	EGF
ENSDARG00000024829	EGF
ENSDARG00000001760	EGF
