User,"count(Partition)"
bspriya,22
cb32904,3
chenhuang,1460
fhscancer,2823
haitaowang,1699
hemgupta,786
hiseq,97
huiyansun,1
jianmingzeng,246
kaimiao,18
kchandratre,387
lakhanp,2767
lliangchen,47
mdivate,3580
nshirgaonkar,12
qiaofangqi,1204
radhav,1755
rbaranikumar,487
sjadhao,549
whpang,2
wtchen,4
yb47433,1
yb47601,71
yb47613,12
yb47615,18
yb57629,224
yb57633,154
yb57653,612
yb57662,324
yb67610,43
yb67615,117
yb67621,2
