User,"count(Partition)"
cb32904,440
fhscancer,1125
haitaowang,323
hemgupta,4
hiseq,8
jackyc,2
jianmingzeng,144
kaimiao,18
kchandratre,134
lakhanp,201
lliangchen,58
monicav,11
qiaofangqi,183
radhav,356
rbaranikumar,60
sjadhao,68
whpang,7
wtchen,49
yb47601,22
yb47612,1
yb47613,95
yb47615,9
yb57629,38
yb57630,10
yb57633,24
yb57653,309
yb57662,55
yb67607,78
yb67610,83
yb67615,20
yb67621,54
