Lab	Users	FHS_NORMAL	FHS_LONG
Dr. Chris Wong	7	3720	1060
Dr. Jun Zheng	1	117	20
Dr. Li GANG	1	246	144
Dr. LiJun Di	2	172	33
Dr. Yuan ZHEN	1	1204	183
HISeq	1	97	8
ICTO	2	2	9
Prof. Chuxia Deng	5	5027	1537
Prof. Edwin Cheung	2	83	117
Prof. Edwin Chong Wing CHEUNG	2	4129	68
Prof. Garry Wong	3	90	151
Prof. Ge Wei	2	4	127
Prof. Ren-He Xu	1	1	0
Prof. San Ming Wang	3	1195	138
Prof. Xiaohua Douglas ZHANG	1	1460	0
Prof. Xiaoling XU	2	1979	394
Unknown	1	1	0
