gene	cluster
AN10608	Cluster_5
AN11765	cluster_T
AN4857	Cluster_8
AN10616	cluster_T
AN12479	Cluster_7
AN9526	Cluster_1
AN4855	Cluster_5
AN20051	Cluster_5
AN4854	Cluster_1
AN4853	Cluster_5
AN4852	cluster_T
AN10603	Cluster_2
AN10606	Cluster_1
AN4850	Cluster_1
AN4849	Cluster_1
AN4848	Cluster_5
AN10602	Cluster_8
AN10605	Cluster_1
AN4846	Cluster_5
AN4845	Cluster_8
AN10604	Cluster_5
AN10601	Cluster_8
AN4843	Cluster_1
AN4842	Cluster_1
AN4841	Cluster_1
AN4840	Cluster_5
AN4839	Cluster_5
AN4838	Cluster_5
AN4837	Cluster_5
AN4836	Cluster_1
AN4835	Cluster_1
AN4834	Cluster_5
AN4833	cluster_T
AN4832	Cluster_2
AN4831	Cluster_1
AN4830	Cluster_1
AN4829	Cluster_1
AN10599	Cluster_8
AN10600	Cluster_8
AN4827	Cluster_8
AN4826	cluster_T
AN4825	Cluster_5
AN4824	Cluster_5
AN4823	Cluster_8
AN9445	Cluster_5
AN9446	Cluster_5
AN11232	Cluster_8
AN11233	cluster_T
AN4822	Cluster_7
AN4821	cluster_T
AN10597	Cluster_5
AN4820	Cluster_8
AN4819	Cluster_5
AN4818	Cluster_7
AN4817	Cluster_5
AN4816	cluster_T
AN4815	cluster_T
AN12225	Cluster_8
AN4814	Cluster_1
AN4813	Cluster_8
AN4812	Cluster_5
AN4811	cluster_T
AN4810	cluster_T
AN4809	cluster_T
AN10598	Cluster_7
AN10595	Cluster_2
AN4807	cluster_T
AN4806	Cluster_7
AN4805	Cluster_8
AN4804	Cluster_1
AN4803	Cluster_1
AN4802	Cluster_8
AN4801	Cluster_5
AN4800	Cluster_1
AN4799	Cluster_1
AN10594	Cluster_8
AN10596	Cluster_1
AN4797	Cluster_5
AN4796	cluster_T
AN4795	Cluster_2
AN4794	Cluster_7
AN4793	Cluster_8
AN4792	Cluster_1
AN4791	Cluster_1
AN4790	Cluster_1
AN4789	Cluster_1
AN4788	Cluster_1
AN4787	Cluster_1
AN4786	Cluster_5
AN4785	Cluster_2
AN4784	Cluster_2
AN12224	cluster_T
AN4783	Cluster_7
AN4782	Cluster_5
AN4781	Cluster_8
AN4780	Cluster_5
AN4779	Cluster_5
AN4778	Cluster_1
AN4777	Cluster_1
AN4776	Cluster_1
AN4775	Cluster_1
AN4774	Cluster_8
AN12223	Cluster_8
AN4773	Cluster_5
AN12222	Cluster_8
AN12221	Cluster_5
AN4771	Cluster_8
AN9485	Cluster_1
AN9486	Cluster_1
AN10593	Cluster_5
AN4770	Cluster_5
AN4769	Cluster_5
AN4768	Cluster_1
AN4767	Cluster_1
AN4766	Cluster_1
AN10584	Cluster_1
AN10591	Cluster_1
AN4764	Cluster_1
AN4763	Cluster_5
AN4762	cluster_T
AN4761	Cluster_8
AN4760	Cluster_1
AN4759	Cluster_1
AN4758	Cluster_1
AN4757	Cluster_1
AN10583	Cluster_1
AN10586	Cluster_1
AN10590	Cluster_1
AN4755	Cluster_1
AN4754	Cluster_1
AN4753	Cluster_1
AN4752	Cluster_1
AN4751	Cluster_1
AN4750	Cluster_5
AN4749	Cluster_5
AN4748	Cluster_1
AN4747	Cluster_1
AN4746	Cluster_1
AN4745	Cluster_5
AN4744	Cluster_8
AN4743	Cluster_5
AN4742	Cluster_8
AN11978	Cluster_2
AN4741	Cluster_2
AN4740	Cluster_1
AN4739	Cluster_1
AN4738	Cluster_1
AN10582	Cluster_5
AN10585	cluster_T
AN4736	Cluster_5
AN4735	Cluster_5
AN4734	Cluster_5
AN4733	Cluster_5
AN4732	Cluster_5
AN4731	cluster_T
AN4730	Cluster_5
AN4729	Cluster_1
AN4728	Cluster_8
AN4727	Cluster_5
AN4726	Cluster_8
AN4725	Cluster_5
AN4724	Cluster_8
AN4723	Cluster_1
AN4722	Cluster_2
AN11977	Cluster_7
AN4721	cluster_T
AN11976	cluster_T
AN4720	cluster_T
AN4719	Cluster_8
AN4718	Cluster_1
AN4717	Cluster_5
AN4716	Cluster_5
AN4715	Cluster_8
AN4714	Cluster_5
AN4713	Cluster_1
AN10589	Cluster_2
AN10581	cluster_T
AN4711	Cluster_7
AN4710	Cluster_8
AN4709	Cluster_1
AN4708	Cluster_1
AN4707	Cluster_1
AN4706	Cluster_1
AN4705	Cluster_8
AN4704	Cluster_5
AN4703	Cluster_5
AN4702	cluster_T
AN4701	Cluster_2
AN4700	Cluster_8
AN4699	Cluster_2
AN4698	Cluster_7
AN10592	Cluster_5
AN4697	Cluster_5
AN4696	Cluster_8
AN4695	Cluster_5
AN4694	Cluster_5
AN10580	Cluster_5
AN10588	Cluster_8
AN4692	Cluster_2
AN4691	Cluster_7
AN4690	Cluster_8
AN4689	Cluster_1
AN4688	Cluster_1
AN4687	Cluster_1
AN4686	Cluster_1
AN4685	Cluster_5
AN4684	Cluster_8
AN11975	Cluster_1
AN4683	Cluster_1
AN4682	Cluster_1
AN4681	Cluster_1
AN4680	Cluster_2
AN11974	Cluster_7
AN4678	Cluster_2
AN4677	cluster_T
AN4676	cluster_T
AN4675	cluster_T
AN4674	Cluster_2
AN4673	Cluster_1
AN4672	Cluster_1
AN4671	Cluster_1
AN4670	Cluster_1
AN4669	Cluster_8
AN4668	Cluster_5
AN11973	Cluster_5
AN4667	Cluster_1
AN4666	Cluster_1
AN4665	Cluster_1
AN4664	Cluster_1
AN4663	Cluster_1
AN4662	Cluster_5
AN4660	Cluster_5
AN4659	Cluster_8
AN4658	Cluster_1
AN12165	cluster_T
AN4657	Cluster_1
AN4656	Cluster_7
AN4655	Cluster_2
AN4654	Cluster_5
AN4653	Cluster_1
AN4652	Cluster_5
AN10574	Cluster_7
AN10578	cluster_T
