1	119000000	120000000
1	238000000	239000000
2	107749379	108749379
2	226749379	227749379
3	102550006	103550006
4	23527576	24527576
4	142527576	143527576
5	70373300	71373300
6	8458040	9458040
6	127458040	128458040
7	75342973	76342973
8	35204310	36204310
9	7840288	8840288
9	126840288	127840288
10	104626857	105626857
11	88092110	89092110
12	72085594	73085594
13	57233699	58233699
14	61063821	62063821
15	72714281	73714281
16	89182889	90182889
18	36632926	37632926
20	18426695	19426695
22	26271280	27271280
X	93966714	94966714
Y	57696154	58696154
